Product ID,Product Name,Category,Price,Units Sold,Total Sales,Rating,Review Sentiment,Market,Date
B0116,Fresh Balsam,Candle,26.67,109,2907.03,4.8,Positive,Germany,12-04-2024
B0117,Ocean,Shower Gel,22.8,40,912,3.7,Neutral,India,27-03-2024
B0118,Sweet Pea,Shower Gel,7.69,194,1491.86,3.1,Neutral,Australia,31-03-2024
B0119,Peach Bellini,Hand Soap,16.24,121,1965.04,3.6,Positive,Germany,04-02-2024
B0120,Fresh Balsam,Candle,24.15,140,3381,3.2,Neutral,India,31-05-2024
B0121,A Thousand Wishes,Mist,21.24,107,2272.68,3.6,Positive,India,03-07-2024
B0122,Into the Night,Mist,10.81,136,1470.16,3.7,Positive,India,14-05-2024
B0123,Dark Kiss,Shower Gel,12.13,108,1310.04,3.6,Positive,US,06-02-2024
B0124,Champagne Toast,Candle,17.98,157,2822.86,4.8,Positive,UK,29-03-2024
B0125,Mahogany Teakwood,Candle,12.2,134,1634.8,3.9,Neutral,UK,14-03-2024
B0126,Ocean,Shower Gel,28.11,180,5059.8,3.6,Positive,India,21-05-2024
B0127,Mahogany Teakwood,Candle,19.96,20,399.2,4.9,Positive,Canada,23-07-2024
B0128,Japanese Cherry Blossom,Lotion,25.81,16,412.96,3.7,Positive,Australia,26-05-2024
B0129,Peach Bellini,Hand Soap,8.15,126,1026.9,3.6,Positive,US,29-06-2024
B0130,Crisp Morning Air,Hand Soap,17.33,32,554.56,4.7,Negative,Germany,06-07-2024
B0131,Japanese Cherry Blossom,Lotion,25.09,200,5018,4.6,Neutral,Canada,24-03-2024
B0132,Dark Kiss,Shower Gel,11.9,171,2034.9,4.5,Positive,Germany,19-01-2024
B0133,Into the Night,Mist,15.83,190,3007.7,4.6,Positive,Germany,22-05-2024
B0134,Aromatherapy Eucalyptus,Lotion,20.68,72,1488.96,3.3,Positive,Germany,26-02-2024
B0135,Champagne Toast,Candle,16.75,134,2244.5,4.6,Neutral,Canada,13-03-2024
B0136,Fresh Balsam,Candle,26.9,142,3819.8,4.7,Neutral,Australia,01-01-2024
B0137,Japanese Cherry Blossom,Lotion,18.94,63,1193.22,4.4,Positive,UK,25-06-2024
B0138,Dark Kiss,Shower Gel,20.78,70,1454.6,4.3,Positive,Canada,17-06-2024
B0139,Into the Night,Mist,26.88,181,4865.28,4,Neutral,India,10-04-2024
B0140,A Thousand Wishes,Mist,17.02,34,578.68,3.4,Negative,UK,12-07-2024
B0141,Crisp Morning Air,Hand Soap,13.13,179,2350.27,3.8,Positive,Germany,22-03-2024
B0142,Japanese Cherry Blossom,Lotion,22.42,190,4259.8,3.3,Neutral,Australia,25-07-2024
B0143,Dark Kiss,Shower Gel,22.18,17,377.06,3.6,Positive,Australia,19-07-2024
B0144,Aromatherapy Eucalyptus,Lotion,24.29,76,1846.04,4.3,Positive,Australia,26-07-2024
B0145,Crisp Morning Air,Hand Soap,11.52,23,264.96,3.5,Neutral,Germany,27-03-2024
B0146,Japanese Cherry Blossom,Lotion,16.19,66,1068.54,4.1,Positive,Germany,22-02-2024
B0147,Aromatherapy Eucalyptus,Lotion,20.27,43,871.61,4.2,Positive,US,03-07-2024
B0148,Kitchen Lemon,Hand Soap,24.51,95,2328.45,4.8,Neutral,US,21-05-2024
B0149,Aromatherapy Eucalyptus,Lotion,10.26,147,1508.22,3.4,Positive,Australia,17-05-2024
B0150,Champagne Toast,Candle,25.03,105,2628.15,3.7,Positive,Canada,06-07-2024
B0151,Warm Vanilla Sugar,Lotion,26.14,144,3764.16,3.2,Positive,US,04-05-2024
B0152,Champagne Toast,Candle,12.54,68,852.72,4.3,Positive,UK,09-01-2024
B0153,Japanese Cherry Blossom,Lotion,21.38,43,919.34,4.6,Neutral,US,22-01-2024
B0154,Aromatherapy Eucalyptus,Lotion,23.05,197,4540.85,3.8,Positive,India,18-05-2024
B0155,Mahogany Teakwood,Candle,23.4,110,2574,3.4,Positive,UK,20-03-2024
B0156,Peach Bellini,Hand Soap,23.59,87,2052.33,3.5,Positive,Germany,08-03-2024
B0157,Dark Kiss,Shower Gel,14.41,119,1714.79,3.2,Negative,UK,23-05-2024
B0158,Crisp Morning Air,Hand Soap,27.69,146,4042.74,4,Positive,Germany,07-05-2024
B0159,Crisp Morning Air,Hand Soap,24.07,192,4621.44,3.2,Positive,Australia,07-01-2024
B0160,Champagne Toast,Candle,14.25,154,2194.5,3.2,Positive,Germany,06-02-2024
B0161,Warm Vanilla Sugar,Lotion,19.02,63,1198.26,4.7,Positive,US,04-03-2024
B0162,Champagne Toast,Candle,20.41,131,2673.71,4,Neutral,Canada,13-07-2024
B0163,Japanese Cherry Blossom,Lotion,11.3,89,1005.7,4.5,Neutral,UK,10-01-2024
B0164,Sweet Pea,Shower Gel,15.16,11,166.76,3.5,Positive,Australia,23-05-2024
B0165,Dark Kiss,Shower Gel,12.83,176,2258.08,3.5,Positive,India,03-05-2024
B0166,Sweet Pea,Shower Gel,29.82,30,894.6,4.8,Positive,Australia,20-01-2024
B0167,Mahogany Teakwood,Candle,9.05,41,371.05,3.3,Positive,US,30-01-2024
B0168,Crisp Morning Air,Hand Soap,9.27,144,1334.88,4,Neutral,Australia,20-05-2024
B0169,Kitchen Lemon,Hand Soap,12.42,121,1502.82,5,Neutral,UK,22-06-2024
B0170,Dark Kiss,Shower Gel,20.38,105,2139.9,4.1,Positive,India,15-03-2024
B0171,Fresh Balsam,Candle,28.8,105,3024,4,Positive,Canada,28-04-2024
B0172,A Thousand Wishes,Mist,23,44,1012,3.3,Neutral,US,01-05-2024
B0173,Gingham Love,Mist,9.48,130,1232.4,3.1,Negative,Germany,20-03-2024
B0174,Mahogany Teakwood,Candle,22.35,147,3285.45,3.9,Positive,Australia,08-06-2024
B0175,Ocean,Shower Gel,6.67,172,1147.24,4.1,Positive,US,09-06-2024
B0176,Champagne Toast,Candle,12.1,119,1439.9,4.2,Positive,Australia,08-06-2024
B0177,A Thousand Wishes,Mist,18.53,178,3298.34,3.4,Positive,Germany,27-01-2024
B0178,Champagne Toast,Candle,9.46,154,1456.84,3.2,Neutral,Germany,30-05-2024
B0179,Crisp Morning Air,Hand Soap,19.39,161,3121.79,4.2,Negative,India,07-07-2024
B0180,Kitchen Lemon,Hand Soap,9.2,69,634.8,5,Positive,India,24-07-2024
B0181,Mahogany Teakwood,Candle,9.12,10,91.2,3.6,Neutral,Canada,14-01-2024
B0182,Dark Kiss,Shower Gel,15.64,130,2033.2,3.7,Positive,Canada,31-01-2024
B0183,Dark Kiss,Shower Gel,14.43,108,1558.44,4.4,Positive,UK,13-05-2024
B0184,Ocean,Shower Gel,27.08,64,1733.12,4.9,Negative,Germany,12-03-2024
B0185,Champagne Toast,Candle,19.01,135,2566.35,4.4,Positive,India,31-01-2024
B0186,Peach Bellini,Hand Soap,13.7,16,219.2,4.7,Neutral,Germany,16-07-2024
B0187,A Thousand Wishes,Mist,15.6,167,2605.2,4.1,Negative,Australia,18-02-2024
B0188,Into the Night,Mist,28.33,12,339.96,3.4,Positive,US,19-02-2024
B0189,Dark Kiss,Shower Gel,13.21,104,1373.84,4.8,Positive,India,04-01-2024
B0190,Into the Night,Mist,21.18,174,3685.32,4,Positive,Germany,27-06-2024
B0191,Gingham Love,Mist,20.63,156,3218.28,4.6,Neutral,India,30-04-2024
B0192,Crisp Morning Air,Hand Soap,9.34,175,1634.5,4.5,Neutral,UK,10-01-2024
B0193,Aromatherapy Eucalyptus,Lotion,27.36,49,1340.64,4.4,Positive,US,03-02-2024
B0194,Kitchen Lemon,Hand Soap,6.4,173,1107.2,4.4,Positive,UK,19-05-2024
B0195,Fresh Balsam,Candle,20.35,14,284.9,3.7,Positive,Germany,22-03-2024
B0196,Fresh Balsam,Candle,23.05,103,2374.15,4,Negative,Australia,13-04-2024
B0197,Warm Vanilla Sugar,Lotion,9.82,138,1355.16,3.3,Positive,Australia,14-02-2024
B0198,Japanese Cherry Blossom,Lotion,20.21,186,3759.06,4,Positive,US,10-07-2024
B0199,Gingham Love,Mist,19.01,40,760.4,3.7,Positive,US,27-06-2024
B0200,Dark Kiss,Shower Gel,7.2,33,237.6,3.4,Positive,India,22-03-2024
B0201,Warm Vanilla Sugar,Lotion,24.72,65,1606.8,4.3,Positive,Canada,04-07-2024
B0202,A Thousand Wishes,Mist,21.06,58,1221.48,4.5,Neutral,US,20-03-2024
B0203,Peach Bellini,Hand Soap,12.18,81,986.58,3.3,Positive,Canada,27-02-2024
B0204,Into the Night,Mist,9.43,85,801.55,3.5,Positive,Australia,24-01-2024
B0205,A Thousand Wishes,Mist,14.09,174,2451.66,4,Neutral,Canada,24-06-2024
B0206,Aromatherapy Eucalyptus,Lotion,14.64,147,2152.08,4.1,Negative,UK,21-04-2024
B0207,Into the Night,Mist,13.55,138,1869.9,4.1,Neutral,US,09-03-2024
B0208,Ocean,Shower Gel,11.46,129,1478.34,3.5,Negative,Germany,12-05-2024
B0209,Champagne Toast,Candle,8.5,160,1360,3.6,Positive,India,17-06-2024
B0210,Japanese Cherry Blossom,Lotion,22.53,171,3852.63,3.7,Negative,Australia,10-02-2024
B0211,Crisp Morning Air,Hand Soap,13.42,35,469.7,3.4,Positive,Australia,11-02-2024
B0212,Ocean,Shower Gel,23.8,122,2903.6,4.6,Positive,Germany,27-05-2024
B0213,Peach Bellini,Hand Soap,14.98,72,1078.56,3.5,Positive,Australia,27-03-2024
B0214,Crisp Morning Air,Hand Soap,6,69,414,4.5,Negative,US,09-05-2024
B0215,Crisp Morning Air,Hand Soap,24.35,157,3822.95,3.8,Positive,Canada,11-05-2024
B0216,A Thousand Wishes,Mist,29.13,144,4194.72,3.4,Negative,Canada,11-07-2024
B0217,Fresh Balsam,Candle,13.33,23,306.59,4.9,Positive,Canada,15-07-2024
B0218,Gingham Love,Mist,14.9,127,1892.3,3,Positive,UK,14-02-2024
B0219,Into the Night,Mist,9.61,62,595.82,3.9,Neutral,Germany,09-02-2024
B0220,Dark Kiss,Shower Gel,5.12,50,256,3.7,Positive,Australia,24-06-2024
B0221,Champagne Toast,Candle,21.71,128,2778.88,4.4,Neutral,Australia,25-01-2024
B0222,Champagne Toast,Candle,24.08,44,1059.52,3.8,Positive,Germany,13-03-2024
B0223,Peach Bellini,Hand Soap,14.85,28,415.8,3.7,Positive,US,30-05-2024
B0224,Fresh Balsam,Candle,9.45,70,661.5,3.7,Positive,US,29-07-2024
B0225,Sweet Pea,Shower Gel,23.79,29,689.91,4.3,Positive,US,18-02-2024
B0226,Champagne Toast,Candle,15.89,96,1525.44,3.8,Positive,UK,08-02-2024
B0227,Gingham Love,Mist,21.88,133,2910.04,3.1,Negative,Canada,17-04-2024
B0228,Champagne Toast,Candle,22.06,37,816.22,3.9,Positive,Germany,24-06-2024
B0229,Aromatherapy Eucalyptus,Lotion,26.56,13,345.28,3.3,Positive,Australia,09-05-2024
B0230,Kitchen Lemon,Hand Soap,17.15,181,3104.15,3.8,Neutral,Australia,18-03-2024
B0231,A Thousand Wishes,Mist,20.85,164,3419.4,4.6,Negative,UK,08-05-2024
B0232,Peach Bellini,Hand Soap,13.38,146,1953.48,4.9,Positive,Australia,15-02-2024
B0233,Dark Kiss,Shower Gel,26.76,30,802.8,3.3,Positive,India,30-06-2024
B0234,Into the Night,Mist,17.87,167,2984.29,4.5,Positive,Australia,13-01-2024
B0235,Into the Night,Mist,8.04,135,1085.4,3.9,Positive,Germany,02-06-2024
B0236,Gingham Love,Mist,15.64,182,2846.48,3.6,Neutral,UK,18-05-2024
B0237,Champagne Toast,Candle,13.92,14,194.88,3.9,Positive,India,10-01-2024
B0238,Japanese Cherry Blossom,Lotion,23.3,146,3401.8,4.5,Positive,India,22-01-2024
B0239,Warm Vanilla Sugar,Lotion,23.17,172,3985.24,4,Neutral,Australia,29-03-2024
B0240,Ocean,Shower Gel,27.97,197,5510.09,4.6,Positive,US,11-01-2024
B0241,Gingham Love,Mist,5.96,165,983.4,5,Positive,Australia,26-01-2024
B0242,Sweet Pea,Shower Gel,6.97,173,1205.81,4.5,Positive,Canada,06-01-2024
B0243,A Thousand Wishes,Mist,21.32,30,639.6,4.7,Positive,Canada,30-01-2024
B0244,Dark Kiss,Shower Gel,29.87,167,4988.29,4,Neutral,Germany,03-03-2024
B0245,Japanese Cherry Blossom,Lotion,19.33,65,1256.45,4.5,Positive,Germany,10-07-2024
B0246,Champagne Toast,Candle,17.54,21,368.34,4.2,Negative,UK,22-06-2024
B0247,Into the Night,Mist,15.18,14,212.52,4.6,Positive,UK,11-03-2024
B0248,Peach Bellini,Hand Soap,24.76,172,4258.72,3.6,Positive,Germany,05-01-2024
B0249,Into the Night,Mist,6.59,83,546.97,4.5,Positive,India,27-04-2024
B0250,Peach Bellini,Hand Soap,19.88,148,2942.24,3.8,Negative,UK,04-01-2024
B0251,Gingham Love,Mist,13.66,123,1680.18,3.3,Neutral,Canada,07-05-2024
B0252,Sweet Pea,Shower Gel,9.25,109,1008.25,3.5,Positive,US,26-05-2024
B0253,Peach Bellini,Hand Soap,29.62,31,918.22,3.4,Negative,UK,04-04-2024
B0254,Gingham Love,Mist,16.29,129,2101.41,3.1,Positive,India,12-02-2024
B0255,A Thousand Wishes,Mist,15.79,15,236.85,4.5,Positive,Australia,09-07-2024
B0256,Champagne Toast,Candle,28.03,43,1205.29,3.8,Negative,US,01-02-2024
B0257,Kitchen Lemon,Hand Soap,10.28,38,390.64,4.1,Positive,Germany,10-02-2024
B0258,Peach Bellini,Hand Soap,15.21,65,988.65,3.8,Positive,UK,22-03-2024
B0259,Aromatherapy Eucalyptus,Lotion,27.12,172,4664.64,4.5,Positive,India,17-05-2024
B0260,Kitchen Lemon,Hand Soap,26.48,136,3601.28,4.5,Positive,Canada,25-04-2024
B0261,Champagne Toast,Candle,12.21,146,1782.66,4.7,Neutral,Canada,16-06-2024
B0262,Japanese Cherry Blossom,Lotion,19.5,117,2281.5,4.9,Positive,US,11-06-2024
B0263,Ocean,Shower Gel,8.46,168,1421.28,4,Positive,Germany,26-05-2024
B0264,Kitchen Lemon,Hand Soap,13.13,73,958.49,3.3,Positive,US,24-06-2024
B0265,Into the Night,Mist,23.57,177,4171.89,3.8,Positive,Canada,19-02-2024
B0266,Crisp Morning Air,Hand Soap,23.08,71,1638.68,3.4,Negative,UK,21-02-2024
B0267,Champagne Toast,Candle,6.62,17,112.54,3.4,Positive,Germany,03-03-2024
B0268,Dark Kiss,Shower Gel,29.74,55,1635.7,4.9,Positive,India,29-01-2024
B0269,Into the Night,Mist,11.12,194,2157.28,4.9,Positive,Germany,09-01-2024
B0270,Peach Bellini,Hand Soap,29.89,108,3228.12,3.1,Positive,Germany,07-03-2024
B0271,Ocean,Shower Gel,22.89,165,3776.85,4.3,Positive,Australia,07-01-2024
B0272,Peach Bellini,Hand Soap,6.49,111,720.39,4.7,Neutral,UK,11-01-2024
B0273,Peach Bellini,Hand Soap,28.18,171,4818.78,4.3,Positive,US,01-02-2024
B0274,Champagne Toast,Candle,23.95,158,3784.1,4.5,Positive,UK,13-02-2024
B0275,Peach Bellini,Hand Soap,13.5,72,972,4.6,Positive,UK,25-01-2024
B0276,Japanese Cherry Blossom,Lotion,27.48,135,3709.8,4.5,Neutral,UK,28-03-2024
B0277,Crisp Morning Air,Hand Soap,24.68,189,4664.52,3.5,Positive,Canada,10-01-2024
B0278,Fresh Balsam,Candle,12.21,66,805.86,4.8,Positive,UK,01-07-2024
B0279,A Thousand Wishes,Mist,8.96,172,1541.12,3.6,Neutral,UK,21-06-2024
B0280,Fresh Balsam,Candle,25.13,42,1055.46,3.3,Positive,UK,08-04-2024
B0281,Mahogany Teakwood,Candle,26.27,159,4176.93,3.6,Positive,UK,07-03-2024
B0282,Sweet Pea,Shower Gel,26.76,142,3799.92,3.8,Positive,UK,13-02-2024
B0283,Fresh Balsam,Candle,26.32,90,2368.8,4,Positive,Germany,04-05-2024
B0284,Fresh Balsam,Candle,17.05,133,2267.65,4.8,Positive,UK,17-01-2024
B0285,Champagne Toast,Candle,10.16,48,487.68,3.6,Neutral,US,21-07-2024
B0286,Champagne Toast,Candle,17.47,155,2707.85,4.8,Negative,India,10-07-2024
B0287,Fresh Balsam,Candle,10.06,180,1810.8,3.1,Positive,India,25-03-2024
B0288,Japanese Cherry Blossom,Lotion,18.83,146,2749.18,4.7,Positive,US,21-01-2024
B0289,Peach Bellini,Hand Soap,18.07,72,1301.04,3.5,Neutral,Germany,25-06-2024
B0290,Mahogany Teakwood,Candle,22.24,126,2802.24,3.4,Negative,India,09-03-2024
B0291,Into the Night,Mist,23.58,197,4645.26,4.7,Positive,India,03-02-2024
B0292,Into the Night,Mist,10.19,72,733.68,4.2,Positive,US,28-04-2024
B0293,Ocean,Shower Gel,12.97,172,2230.84,3.1,Positive,US,23-04-2024
